"ID";"Perioden";"TotaalAanbod_1";"WinningUitDeBodem_2";"ProductieUitAndereBronnen_3";"InvoerVanGasvormigAardgasTotaal_4";"InvoerViaNoorwegen_5";"InvoerViaDuitsland_6";"InvoerViaBelgie_7";"InvoerViaVerenigdKoninkrijk_8";"InvoerViaDenemarken_9";"InvoerVloeibaarAardgasLNGTotaal_10";"InvoerUitVerenigdeStaten_11";"InvoerUitNoorwegen_12";"InvoerUitRusland_13";"InvoerUitAfrika_14";"InvoerUitAzie_15";"InvoerUitAmerikaExclDeVS_16";"InvoerUitOverigOnbekend_17";"UitvoerVanGasvormigAardgasTotaal_18";"UitvoerNaarDuitsland_19";"UitvoerNaarBelgie_20";"UitvoerNaarVerenigdKoninkrijk_21";"UitvoerVanVloeibaarAardgasLNG_22";"Bunkering_23";"Voorraadmutatie_24";"TotaalVerbruik_25";"Energiebedrijven_26";"VerbruikBijWinningEnAardgastransport_27";"Eindvoorraad_28";"EindvoorraadGasvormigAardgas_29";"EindvoorraadVloeibaarAardgasLNG_30";"Fakkels_31";"OpslagcapaciteitTotaal_32";"OpslagcapaciteitGasvormig_33";"OpslagcapaciteitVloeibaar_34"
"10";"2015MM09";"    2379";"    3513";"      10";"    3527";"    1905";"     937";"     528";"     105";"      51";"      96";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3202";"    2244";"     944";"      14";"     102";"       0";"   -1463";"    2379";"     617";"      61";"       .";"       .";"       .";"       6";"   15860";"   15444";"     416"
"11";"2015KW03";"    6438";"   11752";"      31";"   10027";"    5473";"    2536";"    1363";"     511";"     143";"     429";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    9684";"    6858";"    2798";"      28";"     466";"       0";"   -5650";"    6438";"    1787";"     197";"       .";"       .";"       .";"      13";"   15860";"   15444";"     416"
"12";"2015MM10";"    3349";"    3459";"       9";"    3503";"    1709";"    1223";"     363";"     136";"      72";"     378";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    3863";"    2584";"    1269";"      10";"     106";"       0";"     -31";"    3349";"     882";"      64";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"13";"2015MM11";"    3565";"    4241";"       9";"    2701";"    1296";"     938";"     223";"     173";"      72";"      89";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4592";"    3071";"    1197";"     324";"     102";"       0";"    1219";"    3565";"     913";"      68";"       .";"       .";"       .";"       2";"   15860";"   15444";"     416"
"14";"2015MM12";"    3694";"    4370";"       9";"    2740";"    1318";"    1002";"     197";"     181";"      42";"      95";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5471";"    3235";"    1579";"     658";"      51";"       0";"    2002";"    3694";"     825";"      77";"       .";"       .";"       .";"       3";"   15860";"   15444";"     416"
"15";"2015KW04";"   10609";"   12069";"      27";"    8944";"    4324";"    3162";"     783";"     490";"     186";"     563";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   13926";"    8890";"    4044";"     992";"     259";"       0";"    3191";"   10609";"    2620";"     209";"       .";"       .";"       .";"       9";"   15860";"   15444";"     416"
"16";"2015JJ00";"   37992";"   52182";"     119";"   36324";"   18471";"   11848";"    3331";"    2128";"     546";"    2241";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   51118";"   31469";"   15966";"    3683";"    1328";"       1";"    -428";"   37992";"    8306";"     859";"       .";"       .";"       .";"      48";"   15860";"   15444";"     416"
"17";"2016MM01";"    4778";"    4561";"      10";"    3293";"    1225";"    1697";"     158";"     212";"       0";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5716";"    3184";"    1752";"     780";"      21";"       0";"    2651";"    4778";"     866";"      74";"       .";"       .";"       .";"       3";"   15857";"   15441";"     416"
"18";"2016MM02";"    4317";"    4240";"       9";"    3411";"    1242";"    1788";"     169";"     183";"      29";"      93";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5156";"    2792";"    1671";"     693";"     130";"       0";"    1850";"    4317";"     788";"      66";"       .";"       .";"       .";"       3";"   15857";"   15441";"     416"
"19";"2016MM03";"    4310";"    4800";"       7";"    3516";"    1435";"    1693";"     127";"     182";"      79";"       0";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    5935";"    3088";"    1986";"     861";"       8";"       0";"    1930";"    4310";"     784";"      72";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
