"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLNGTotal_10";"ImportsViaTheUnitedStates_11";"ImportsViaNorway_12";"ImportsViaRussia_13";"ImportsViaAfrica_14";"ImportsViaAsia_15";"ImportsViaAmericaExcludingUS_16";"ImportsViaOtherUnknown_17";"ExportsOfGaseousNaturalGasTotal_18";"ExportsToNorway_19";"ExportsToGermany_20";"ExportsToBelgium_21";"ExportsToUnitedKingdom_22";"ExportsToDenmark_23";"ExportsOfLiquefiedNaturalGasLNG_24";"Bunkers_25";"StockChange_26";"TotalConsumption_27";"TotalViaTheMainGrid_28";"ElectricityPowerPlants_29";"OtherConsumers_30";"ViaRegionalGrids_31";"ConsumptionByProductionAndTransport_32";"ClosingStock_33";"ClosingStockGaseousGas_34";"ClosingStockLiquefiedNaturalGas_35";"Flaring_36";"StorageCapacityTotal_37";"StorageCapacityGaseousGas_38";"StorageCapacityLiquefiedNaturalGas_39"
"418";"2003KW01";"   16441";"   26713";"       3";"    6669";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"   17146";"";"";"";"";"";"";"       .";"     202";"   16441";"    6489";"    2074";"    4415";"    9754";"     198";"       .";"";"";"      14";"";"";""
"419";"2003MM04";"    3642";"    4661";"       1";"    2046";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2996";"";"";"";"";"";"";"       .";"     -70";"    3642";"    1733";"     535";"    1198";"    1851";"      58";"       .";"";"";"       4";"";"";""
"420";"2003MM05";"    3136";"    3407";"       1";"    1986";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2183";"";"";"";"";"";"";"       .";"     -75";"    3136";"    1728";"     565";"    1163";"    1351";"      57";"       .";"";"";"       5";"";"";""
"421";"2003MM06";"    2262";"    2488";"       1";"    1858";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    1997";"";"";"";"";"";"";"       .";"     -88";"    2262";"    1583";"     622";"     961";"     631";"      48";"       .";"";"";"       3";"";"";""
"422";"2003KW02";"    9040";"   10556";"       3";"    5890";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    7176";"";"";"";"";"";"";"       .";"    -233";"    9040";"    5044";"    1722";"    3322";"    3833";"     163";"       .";"";"";"      12";"";"";""
"423";"2003MM07";"    2553";"    2577";"       1";"    1963";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    1920";"";"";"";"";"";"";"       .";"     -68";"    2553";"    1908";"     700";"    1208";"     591";"      54";"       .";"";"";"       5";"";"";""
"424";"2003MM08";"    2429";"    2561";"       1";"    2018";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2089";"";"";"";"";"";"";"       .";"     -62";"    2429";"    1883";"     593";"    1290";"     501";"      45";"       .";"";"";"       3";"";"";""
"425";"2003MM09";"    2744";"    3288";"       1";"    1803";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    2282";"";"";"";"";"";"";"       .";"     -66";"    2744";"    1743";"     676";"    1067";"     951";"      50";"       .";"";"";"       4";"";"";""
"426";"2003KW03";"    7726";"    8426";"       3";"    5784";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    6291";"";"";"";"";"";"";"       .";"    -196";"    7726";"    5534";"    1969";"    3565";"    2043";"     149";"       .";"";"";"      12";"";"";""
"427";"2003MM10";"    4583";"    6924";"       1";"    1885";"";"";"";"";"";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"    4291";"";"";"";"";"";"";"       .";"      64";"    4583";"    2160";"     819";"    1341";"    2351";"      72";"       .";"";"";"       5";"";"";""
