"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"439";"2005MM10";"    3276";"    4565";"       1";"    1908";"";"";"";"";"";"";"    3345";"";"";"";"";"";"";"       .";"     147";"    3276";"    2030";"     736";"    1294";"    1196";"      50";"       .";"";"";"       3";"";"";""
"440";"2005MM11";"    4613";"    8007";"       1";"    1755";"";"";"";"";"";"";"    5261";"";"";"";"";"";"";"       .";"     111";"    4613";"    2177";"     821";"    1356";"    2366";"      70";"       .";"";"";"       3";"";"";""
"441";"2005MM12";"    5521";"   10061";"       1";"    1758";"";"";"";"";"";"";"    6412";"";"";"";"";"";"";"       .";"     113";"    5521";"    2221";"     864";"    1357";"    3225";"      75";"       .";"";"";"       4";"";"";""
"442";"2005KW04";"   13410";"   22633";"       3";"    5421";"";"";"";"";"";"";"   15018";"";"";"";"";"";"";"       .";"     371";"   13410";"    6428";"    2421";"    4007";"    6787";"     195";"       .";"";"";"      10";"";"";""
"443";"2005JJ00";"   46744";"   74312";"      12";"   21747";"";"";"";"";"";"";"   49445";"";"";"";"";"";"";"       .";"     118";"   46744";"   24313";"    8837";"   15476";"   21745";"     686";"       .";"";"";"      38";"";"";""
"444";"2006MM01";"    6165";"   10833";"       2";"    1977";"";"";"";"";"";"";"    6902";"";"";"";"";"";"";"       .";"     255";"    6165";"    2207";"     803";"    1404";"    3898";"      60";"       .";"";"";"       3";"";"";""
"445";"2006MM02";"    5379";"    9630";"       2";"    1523";"";"";"";"";"";"";"    6163";"";"";"";"";"";"";"       .";"     387";"    5379";"    2042";"     775";"    1267";"    3283";"      54";"       .";"";"";"       2";"";"";""
"446";"2006MM03";"    5375";"    9232";"       2";"    1832";"";"";"";"";"";"";"    6453";"";"";"";"";"";"";"       .";"     762";"    5375";"    2118";"     759";"    1359";"    3202";"      55";"       .";"";"";"       3";"";"";""
"447";"2006KW01";"   16919";"   29695";"       6";"    5332";"";"";"";"";"";"";"   19518";"";"";"";"";"";"";"       .";"    1404";"   16919";"    6367";"    2337";"    4030";"   10383";"     169";"       .";"";"";"       8";"";"";""
"448";"2006MM04";"    3601";"    6180";"       2";"    1957";"";"";"";"";"";"";"    4398";"";"";"";"";"";"";"       .";"    -140";"    3601";"    1742";"     570";"    1172";"    1808";"      51";"       .";"";"";"       3";"";"";""
