"ID";"Periods";"TotalSupply_1";"IndigenousProduction_2";"ProductionFromOtherSources_3";"ImportsOfGaseousNaturalGasTotal_4";"ImportsViaNorway_5";"ImportsViaGermany_6";"ImportsViaBelgium_7";"ImportsViaUnitedKingdom_8";"ImportsViaDenmark_9";"ImportsOfLiquefiedNaturalGasLng_10";"ExportsOfGaseousNaturalGasTotal_11";"ExportsToNorway_12";"ExportsToGermany_13";"ExportsToBelgium_14";"ExportsToUnitedKingdom_15";"ExportsToDenmark_16";"ExportsOfLiquefiedNaturalGasLng_17";"Bunkers_18";"StockChange_19";"TotalConsumption_20";"TotalViaTheMainGrid_21";"ElectricityPowerPlants_22";"OtherConsumers_23";"ViaRegionalGrids_24";"ConsumptionByProductionAndTransport_25";"ClosingStock_26";"ClosingStockGaseousGas_27";"ClosingStockLiquefiedNaturalGas_28";"Flaring_29";"StorageCapacityTotal_30";"StorageCapacityGaseousGas_31";"StorageCapacityLiquefiedNaturalGas_32"
"603";"2015MM06";"    2076";"    4241";"       9";"    2743";"    1514";"     909";"     152";"     121";"      47";"     197";"    3273";"";"    1988";"    1023";"     262";"";"      60";"       0";"   -1781";"    2076";"       .";"     287";"       .";"       .";"      61";"       .";"       .";"       .";"       5";"   15860";"   15444";"     416"
"604";"2015KW02";"    7353";"   12755";"      31";"    9206";"    4566";"    3283";"     739";"     493";"     124";"     598";"    9897";"";"    6431";"    3116";"     350";"";"     295";"       0";"   -5045";"    7353";"       .";"     859";"       .";"       .";"     210";"       .";"       .";"       .";"      13";"   15860";"   15444";"     416"
"605";"2015MM07";"    2068";"    4425";"      11";"    3314";"    1900";"     857";"     336";"     177";"      45";"      97";"    3274";"";"    2244";"    1017";"      14";"";"     203";"       0";"   -2301";"    2068";"       .";"     403";"       .";"       .";"      67";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"606";"2015MM08";"    1991";"    3814";"      10";"    3186";"    1668";"     742";"     500";"     230";"      47";"     237";"    3207";"";"    2370";"     837";"       0";"";"     162";"       0";"   -1886";"    1991";"       .";"     378";"       .";"       .";"      69";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"607";"2015MM09";"    2378";"    3513";"      10";"    3527";"    1905";"     937";"     528";"     105";"      51";"      97";"    3202";"";"    2244";"     944";"      14";"";"     102";"       0";"   -1463";"    2378";"       .";"     418";"       .";"       .";"      61";"       .";"       .";"       .";"       6";"   15860";"   15444";"     416"
"608";"2015KW03";"    6437";"   11751";"      31";"   10027";"    5473";"    2536";"    1363";"     511";"     143";"     430";"    9684";"";"    6858";"    2798";"      28";"";"     467";"       0";"   -5650";"    6437";"       .";"    1199";"       .";"       .";"     197";"       .";"       .";"       .";"      13";"   15860";"   15444";"     416"
"609";"2015MM10";"    3349";"    3458";"       9";"    3503";"    1709";"    1223";"     363";"     136";"      72";"     378";"    3863";"";"    2584";"    1269";"      10";"";"     107";"       0";"     -31";"    3349";"       .";"     666";"       .";"       .";"      64";"       .";"       .";"       .";"       4";"   15860";"   15444";"     416"
"610";"2015MM11";"    3565";"    4240";"       9";"    2701";"    1296";"     938";"     223";"     173";"      72";"      90";"    4592";"";"    3071";"    1197";"     324";"";"     103";"       0";"    1219";"    3565";"       .";"     693";"       .";"       .";"      68";"       .";"       .";"       .";"       2";"   15860";"   15444";"     416"
"611";"2015MM12";"    3694";"    4369";"       9";"    2740";"    1318";"    1002";"     197";"     181";"      42";"      95";"    5471";"";"    3235";"    1579";"     658";"";"      50";"       0";"    2002";"    3694";"       .";"     599";"       .";"       .";"      77";"       .";"       .";"       .";"       3";"   15860";"   15444";"     416"
"612";"2015KW04";"   10607";"   12068";"      27";"    8944";"    4324";"    3162";"     783";"     490";"     186";"     563";"   13926";"";"    8890";"    4044";"     992";"";"     260";"       0";"    3191";"   10607";"       .";"    1959";"       .";"       .";"     209";"       .";"       .";"       .";"       9";"   15860";"   15444";"     416"
"613";"2015JJ00";"   37987";"   52178";"     119";"   36324";"   18471";"   11848";"    3331";"    2128";"     546";"    2245";"   51118";"";"   31469";"   15966";"    3683";"";"    1333";"       1";"    -428";"   37987";"       .";"    5713";"       .";"       .";"     859";"       .";"       .";"       .";"      48";"   15860";"   15444";"     416"
"614";"2016MM01";"    4777";"    4560";"      10";"    3293";"    1225";"    1697";"     158";"     212";"       0";"       0";"    5716";"";"    3184";"    1752";"     780";"";"      21";"       0";"    2651";"    4777";"       .";"     673";"       .";"       .";"      74";"       .";"       .";"       .";"       3";"   15857";"   15441";"     416"
"615";"2016MM02";"    4316";"    4240";"       9";"    3411";"    1242";"    1788";"     169";"     183";"      29";"      93";"    5156";"";"    2792";"    1671";"     693";"";"     131";"       0";"    1850";"    4316";"       .";"     597";"       .";"       .";"      66";"       .";"       .";"       .";"       3";"   15857";"   15441";"     416"
"616";"2016MM03";"    4310";"    4799";"       7";"    3516";"    1435";"    1693";"     127";"     182";"      79";"       0";"    5935";"";"    3088";"    1986";"     861";"";"       8";"       0";"    1930";"    4310";"       .";"     586";"       .";"       .";"      72";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"617";"2016KW01";"   13403";"   13599";"      26";"   10221";"    3902";"    5179";"     455";"     578";"     108";"      94";"   16808";"";"    9064";"    5409";"    2334";"";"     160";"       0";"    6431";"   13403";"       .";"    1856";"       .";"       .";"     212";"       .";"       .";"       .";"      10";"   15880";"   15465";"     416"
"618";"2016MM04";"    3133";"    4573";"       7";"    3551";"    1600";"    1483";"     191";"     197";"      79";"     132";"    4326";"";"    2466";"    1360";"     500";"";"      13";"       0";"    -790";"    3133";"       .";"     450";"       .";"       .";"      66";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"619";"2016MM05";"    2283";"    4690";"       9";"    3832";"    1842";"    1287";"     453";"     184";"      66";"     249";"    3897";"";"    2745";"    1125";"      26";"";"     133";"       0";"   -2467";"    2283";"       .";"     373";"       .";"       .";"      69";"       .";"       .";"       .";"       5";"   15880";"   15465";"     416"
"620";"2016MM06";"    2057";"    3912";"      10";"    3388";"    1502";"    1388";"     319";"      93";"      86";"     403";"    3139";"";"    2067";"    1040";"      32";"";"     121";"       0";"   -2396";"    2057";"       .";"     484";"       .";"       .";"      51";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"621";"2016KW02";"    7474";"   13175";"      25";"   10770";"    4945";"    4158";"     963";"     474";"     231";"     783";"   11361";"";"    7278";"    3525";"     558";"";"     267";"       0";"   -5653";"    7474";"       .";"    1307";"       .";"       .";"     186";"       .";"       .";"       .";"      12";"   15880";"   15465";"     416"
"622";"2016MM07";"    2103";"    4006";"      12";"    4076";"    1729";"    1461";"     698";"     120";"      68";"     101";"    3400";"";"    2535";"     866";"       0";"";"     239";"       0";"   -2453";"    2103";"       .";"     533";"       .";"       .";"      64";"       .";"       .";"       .";"       4";"   15880";"   15465";"     416"
"623";"2016MM08";"    2162";"    3910";"      11";"    2667";"    1115";"     976";"     374";"     178";"      25";"     240";"    3268";"";"    2170";"    1085";"      13";"";"     210";"       0";"   -1188";"    2162";"       .";"     578";"       .";"       .";"      66";"       .";"       .";"       .";"       6";"   15880";"   15465";"     416"
"624";"2016MM09";"    2284";"    3492";"      14";"    2647";"     872";"    1248";"     409";"     101";"      16";"       0";"    3302";"";"    2226";"    1056";"      20";"";"      16";"       0";"    -551";"    2284";"       .";"     657";"       .";"       .";"      57";"       .";"       .";"       .";"       6";"   14696";"   14281";"     416"
"625";"2016KW03";"    6548";"   11408";"      37";"    9390";"    3716";"    3685";"    1481";"     399";"     109";"     341";"    9970";"";"    6931";"    3006";"      33";"";"     465";"       0";"   -4192";"    6548";"       .";"    1768";"       .";"       .";"     187";"       .";"       .";"       .";"      17";"   14696";"   14281";"     416"
"626";"2016MM10";"    3366";"    3770";"      14";"    3689";"    1830";"    1191";"     423";"     148";"      97";"     305";"    4646";"";"    2782";"    1457";"     407";"";"       7";"       0";"     243";"    3366";"       .";"     698";"       .";"       .";"      79";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
"627";"2016MM11";"    4294";"    4125";"      14";"    4004";"    1882";"    1724";"     142";"     145";"     111";"       0";"    6237";"";"    3029";"    2173";"    1036";"";"       4";"       0";"    2391";"    4294";"       .";"     782";"       .";"       .";"      78";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
"628";"2016MM12";"    4767";"    4296";"      13";"    3830";"    1358";"    2094";"     128";"     175";"      76";"      84";"    6423";"";"    3111";"    2804";"     509";"";"     193";"       0";"    3160";"    4767";"       .";"     812";"       .";"       .";"      79";"       .";"       .";"       .";"       3";"   14696";"   14281";"     416"
"629";"2016KW04";"   12428";"   12191";"      41";"   11524";"    5070";"    5008";"     692";"     468";"     285";"     389";"   17307";"";"    8922";"    6433";"    1952";"";"     204";"       1";"    5794";"   12428";"       .";"    2291";"       .";"       .";"     236";"       .";"       .";"       .";"      10";"   14696";"   14281";"     416"
"630";"2016JJ00";"   39852";"   50373";"     129";"   41904";"   17632";"   18030";"    3591";"    1919";"     733";"    1607";"   55445";"";"   32195";"   18373";"    4878";"";"    1096";"       1";"    2381";"   39852";"       .";"    7222";"       .";"       .";"     821";"       .";"       .";"       .";"      49";"   14696";"   14281";"     416"
"631";"2017MM01";"    5813";"    4721";"      20";"    4742";"    1992";"    2339";"     171";"     169";"      72";"       7";"    7141";"";"    3638";"    2963";"     541";"";"       7";"       1";"    3472";"    5813";"       .";"     890";"       .";"       .";"      92";"    5002";"    4877";"     125";"       4";"   14696";"   14281";"     416"
"632";"2017MM02";"    4311";"    4094";"      14";"    3462";"    1505";"    1589";"     129";"     123";"     116";"      99";"    5377";"";"    2909";"    2104";"     363";"";"     109";"       0";"    2128";"    4311";"       .";"     631";"       .";"       .";"      75";"    2874";"    2777";"      97";"       3";"   14696";"   14281";"     416"
"633";"2017MM03";"    3776";"    3887";"      11";"    3663";"    1714";"    1316";"     376";"     143";"     115";"     145";"    4177";"";"    2943";"    1181";"      52";"";"      11";"       0";"     258";"    3776";"       .";"     635";"       .";"       .";"      83";"    2616";"    2404";"     212";"       6";"   14696";"   14281";"     416"
"634";"2017KW01";"   13900";"   12702";"      44";"   11867";"    5210";"    5244";"     676";"     435";"     302";"     250";"   16695";"";"    9490";"    6248";"     956";"";"     126";"       2";"    5858";"   13900";"       .";"    2155";"       .";"       .";"     250";"    2616";"    2404";"     212";"      13";"   14696";"   14281";"     416"
"635";"2017MM04";"    3290";"    3774";"       8";"    4291";"    1998";"    1325";"     709";"     150";"     109";"     192";"    3658";"";"    2531";"    1127";"       0";"";"       0";"       0";"   -1317";"    3290";"       .";"     631";"       .";"       .";"      74";"    3933";"    3748";"     185";"       3";"   14696";"   14281";"     416"
"636";"2017MM05";"    2594";"    3501";"      10";"    4185";"    1990";"    1036";"     845";"     147";"     166";"     395";"    3244";"";"    2311";"     923";"      11";"";"      40";"       1";"   -2212";"    2594";"       .";"     590";"       .";"       .";"      77";"    6145";"    5905";"     240";"       5";"   14696";"   14281";"     416"
"637";"2017MM06";"    2152";"    3042";"      10";"    3702";"    1902";"     939";"     646";"      85";"     130";"     295";"    2860";"";"    2047";"     814";"       0";"";"     114";"       0";"   -1922";"    2152";"       .";"     563";"       .";"       .";"      60";"    8067";"    7813";"     254";"       3";"   14696";"   14281";"     416"
"638";"2017KW02";"    8035";"   10316";"      29";"   12178";"    5890";"    3300";"    2200";"     382";"     404";"     882";"    9763";"";"    6888";"    2864";"      11";"";"     155";"       1";"   -5451";"    8035";"       .";"    1785";"       .";"       .";"     210";"    8067";"    7813";"     254";"      11";"   14696";"   14281";"     416"
"639";"2017MM07";"    2336";"    3331";"      11";"    4094";"    2147";"     689";"    1147";"      47";"      65";"     175";"    2916";"";"    2209";"     706";"       1";"";"     182";"       0";"   -2177";"    2336";"       .";"     760";"       .";"       .";"      63";"   10244";"   10036";"     209";"       5";"   14696";"   14281";"     416"
"640";"2017MM08";"    2201";"    3533";"      10";"    3840";"    2005";"     646";"    1005";"      87";"      96";"     145";"    2937";"";"    2141";"     796";"       0";"";"      78";"       1";"   -2311";"    2201";"       .";"     509";"       .";"       .";"      73";"   12555";"   12309";"     246";"       3";"   14696";"   14281";"     416"
"641";"2017MM09";"    2660";"    2124";"      10";"    3887";"    2043";"     913";"     667";"      85";"     178";"      97";"    3105";"";"    2232";"     868";"       4";"";"      29";"       0";"    -325";"    2660";"       .";"     656";"       .";"       .";"      67";"   12880";"   12589";"     291";"       4";"   13721";"   13305";"     416"
"642";"2017KW03";"    7198";"    8988";"      32";"   11820";"    6195";"    2248";"    2819";"     219";"     339";"     418";"    8957";"";"    6582";"    2370";"       6";"";"     289";"       1";"   -4812";"    7198";"       .";"    1924";"       .";"       .";"     204";"   12880";"   12589";"     291";"      12";"   13721";"   13305";"     416"
"643";"2017MM10";"    3096";"    3482";"      11";"    3762";"    2047";"    1028";"     548";"      74";"      66";"     289";"    4114";"";"    2895";"    1179";"      40";"";"     202";"       1";"    -132";"    3096";"       .";"     709";"       .";"       .";"      76";"   13011";"   12656";"     355";"       4";"   13721";"   13305";"     416"
"644";"2017MM11";"    4152";"    3765";"      12";"    4383";"    1971";"    2056";"     165";"      92";"      99";"      19";"    5477";"";"    2867";"    2278";"     332";"";"     104";"       0";"    1554";"    4152";"       .";"     860";"       .";"       .";"      59";"   11457";"   11205";"     252";"       3";"   13726";"   13310";"     416"
"645";"2017MM12";"    4985";"    3896";"      13";"    5327";"    2156";"    2815";"     142";"      85";"     129";"     210";"    7067";"";"    2956";"    3345";"     765";"";"     250";"       1";"    2857";"    4985";"       .";"     864";"       .";"       .";"      71";"    8600";"    8416";"     184";"       3";"   13726";"   13310";"     416"
"646";"2017KW04";"   12234";"   11143";"      36";"   13473";"    6175";"    5899";"     855";"     251";"     294";"     518";"   16658";"";"    8717";"    6803";"    1137";"";"     556";"       2";"    4280";"   12234";"       .";"    2433";"       .";"       .";"     206";"    8600";"    8416";"     184";"      10";"   13726";"   13310";"     416"
"647";"2017JJ00";"   41367";"   43149";"     141";"   49339";"   23470";"   16691";"    6550";"    1287";"    1340";"    2068";"   52073";"";"   31677";"   18285";"    2110";"";"    1126";"       6";"    -126";"   41367";"       .";"    8297";"       .";"       .";"     870";"    8600";"    8416";"     184";"      46";"   13726";"   13310";"     416"
"648";"2018MM01";"    4813";"    3868";"      14";"    4608";"    2005";"    2280";"     144";"      85";"      94";"       1";"    6150";"";"    2833";"    2223";"    1095";"";"      17";"       1";"    2489";"    4813";"       .";"     679";"       .";"       .";"      75";"    6110";"    5961";"     149";"       2";"   13726";"   13310";"     416"
"649";"2018MM02";"    5109";"    3093";"      15";"    4628";"    1843";"    2548";"     120";"      79";"      38";"     465";"    6114";"";"    2525";"    3011";"     579";"";"     359";"       0";"    3380";"    5109";"       .";"     700";"       .";"       .";"      71";"    2730";"    2540";"     190";"       2";"   13726";"   13310";"     416"
"650";"2018MM03";"    4654";"    3797";"      17";"    4448";"    1988";"    2152";"     214";"      59";"      34";"     195";"    5375";"";"    2677";"    2105";"     592";"";"     311";"       1";"    1882";"    4654";"       .";"     629";"       .";"       .";"      76";"     848";"     822";"      25";"       2";"   13721";"   13305";"     416"
"651";"2018KW01";"   14575";"   10758";"      46";"   13684";"    5837";"    6981";"     478";"     223";"     166";"     662";"   17639";"";"    8035";"    7339";"    2266";"";"     687";"       1";"    7752";"   14575";"       .";"    2008";"       .";"       .";"     222";"     848";"     822";"      25";"       6";"   13721";"   13305";"     416"
"652";"2018MM04";"    2714";"    2865";"      15";"    4283";"    2216";"    1482";"     494";"      72";"      20";"     435";"    3234";"";"    2099";"    1069";"      67";"";"       4";"       1";"   -1644";"    2714";"       .";"     414";"       .";"       .";"      72";"    2492";"    2269";"     222";"       2";"   13721";"   13305";"     416"
"653";"2018MM05";"    2277";"    2943";"      11";"    4382";"    2255";"    1353";"     671";"      85";"      18";"     477";"    3552";"";"    2554";"     995";"       3";"";"     194";"       1";"   -1789";"    2277";"       .";"     443";"       .";"       .";"      72";"    4281";"    4046";"     235";"       4";"   13726";"   13310";"     416"
"654";"2018MM06";"    2258";"    2831";"      12";"    4217";"    2341";"    1265";"     537";"      54";"      21";"     477";"    2790";"";"    1664";"    1119";"       7";"";"     389";"       2";"   -2099";"    2258";"       .";"     614";"       .";"       .";"      62";"    6380";"    6129";"     251";"       3";"   13726";"   13310";"     416"
"655";"2018KW02";"    7250";"    8638";"      38";"   12883";"    6812";"    4100";"    1701";"     211";"      59";"    1390";"    9577";"";"    6316";"    3183";"      77";"";"     587";"       3";"   -5532";"    7250";"       .";"    1471";"       .";"       .";"     206";"    6380";"    6129";"     251";"       9";"   13726";"   13310";"     416"
"656";"2018MM07";"    2276";"    2906";"      12";"    4123";"    2473";"     560";"    1002";"      65";"      23";"     370";"    2815";"";"    1933";"     882";"       0";"";"     433";"       2";"   -1885";"    2276";"       .";"     751";"       .";"       .";"      71";"    8265";"    8095";"     170";"       4";"   13726";"   13310";"     416"
"657";"2018MM08";"    2398";"    2780";"      13";"    4647";"    2535";"    1040";"     987";"      84";"       0";"     422";"    2830";"";"    2128";"     701";"       0";"";"     444";"       2";"   -2188";"    2398";"       .";"     783";"       .";"       .";"      68";"   10453";"   10325";"     129";"       2";"   13726";"   13310";"     416"
"658";"2018MM09";"    2516";"    2764";"       9";"    4298";"    2297";"    1404";"     525";"      71";"       0";"     851";"    2724";"";"    1559";"    1141";"      23";"";"     514";"       2";"   -2166";"    2516";"       .";"     625";"       .";"       .";"      62";"   12619";"   12283";"     336";"       2";"   13726";"   13310";"     416"
"659";"2018KW03";"    7190";"    8450";"      34";"   13068";"    7305";"    3005";"    2515";"     220";"      23";"    1643";"    8369";"";"    5621";"    2725";"      23";"";"    1391";"       5";"   -6239";"    7190";"       .";"    2159";"       .";"       .";"     201";"   12619";"   12283";"     336";"       8";"   13726";"   13310";"     416"
"660";"2018MM10";"    3049";"    2644";"       9";"    4108";"    2147";"    1345";"     563";"      52";"       0";"     562";"    3820";"";"    2706";"    1042";"      71";"";"      42";"       2";"    -409";"    3049";"       .";"     666";"       .";"       .";"      63";"   13028";"   12800";"     228";"       2";"   13726";"   13310";"     416"
"661";"2018MM11";"    4173";"    3079";"       9";"    3776";"    1783";"    1784";"     138";"      71";"       0";"     908";"    4400";"";"    2620";"    1626";"     154";"";"      28";"       2";"     833";"    4173";"       .";"     867";"       .";"       .";"      68";"   12195";"   11924";"     271";"       2";"   13726";"   13310";"     416"
"662";"2018MM12";"    4558";"    3370";"      11";"    4321";"    1979";"    2013";"     251";"      78";"       0";"     714";"    5067";"";"    2836";"    1733";"     499";"";"      31";"       2";"    1243";"    4558";"       .";"     805";"       .";"       .";"      75";"   10953";"   10737";"     216";"       2";"   13726";"   13310";"     416"
"663";"2018KW04";"   11781";"    9093";"      29";"   12205";"    5909";"    5142";"     953";"     200";"       0";"    2185";"   13287";"";"    8162";"    4401";"     724";"";"     102";"       7";"    1666";"   11781";"       .";"    2338";"       .";"       .";"     206";"   10953";"   10737";"     216";"       5";"   13726";"   13310";"     416"
"664";"2018JJ00";"   40796";"   36939";"     147";"   51840";"   25863";"   19228";"    5647";"     854";"     248";"    5879";"   48873";"";"   28134";"   17648";"    3090";"";"    2766";"      17";"   -2353";"   40796";"       .";"    7976";"       .";"       .";"     835";"   10953";"   10737";"     216";"      28";"   13726";"   13310";"     416"
"665";"2019MM01";"    5321";"    3441";"      16";"    4631";"    2139";"    2271";"     146";"      76";"       0";"     692";"    6215";"";"    3191";"    1932";"    1092";"";"      16";"       5";"    2778";"    5321";"       .";"     939";"       .";"       .";"      72";"    8175";"    8039";"     136";"       2";"   13726";"   13310";"     416"
"666";"2019MM02";"    4169";"    2842";"      14";"    3781";"    1727";"    1821";"     169";"      64";"       0";"     806";"    4463";"";"    2637";"    1478";"     348";"";"     140";"       3";"    1333";"    4169";"       .";"     835";"       .";"       .";"      55";"    6842";"    6609";"     233";"       2";"   13726";"   13310";"     416"
"667";"2019MM03";"    4166";"    3024";"      16";"    4246";"    2200";"    1411";"     564";"      71";"       0";"     918";"    4181";"";"    2867";"    1314";"       0";"";"      21";"       6";"     171";"    4166";"       .";"     808";"       .";"       .";"      70";"    6671";"    6459";"     212";"       2";"   13726";"   13310";"     416"
"668";"2019KW01";"   13656";"    9307";"      46";"   12658";"    6065";"    5502";"     879";"     212";"       0";"    2416";"   14860";"";"    8695";"    4725";"    1440";"";"     177";"      14";"    4282";"   13656";"       .";"    2583";"       .";"       .";"     197";"    6671";"    6459";"     212";"       6";"   13726";"   13310";"     416"
"669";"2019MM04";"    3055";"    2469";"      15";"    3515";"    1766";"    1143";"     544";"      61";"       0";"    1151";"    3507";"";"    2415";"    1091";"       1";"";"       6";"       6";"    -576";"    3055";"       .";"     666";"       .";"       .";"      58";"    7247";"    7048";"     199";"       2";"   13710";"   13294";"     416"
"670";"2019MM05";"    3068";"    2791";"      19";"    3803";"    2028";"     961";"     755";"      58";"       0";"    1028";"    3328";"";"    2423";"     904";"       0";"";"      12";"       4";"   -1228";"    3068";"       .";"     852";"       .";"       .";"      59";"    8475";"    8366";"     109";"       1";"   13710";"   13294";"     416"
"671";"2019MM06";"    2352";"    2508";"      16";"    3620";"    1582";"    1117";"     874";"      46";"       0";"    1103";"    2811";"";"    1937";"     860";"      15";"";"      18";"       5";"   -2060";"    2352";"       .";"     756";"       .";"       .";"      56";"   10535";"   10199";"     336";"       3";"   13710";"   13294";"     416"
"672";"2019KW02";"    8474";"    7768";"      49";"   10938";"    5377";"    3222";"    2173";"     165";"       0";"    3282";"    9646";"";"    6775";"    2855";"      16";"";"      37";"      16";"   -3864";"    8474";"       .";"    2275";"       .";"       .";"     173";"   10535";"   10199";"     336";"       6";"   13710";"   13294";"     416"
"673";"2019MM07";"    2550";"    2432";"      15";"    3432";"    2002";"     666";"     712";"      52";"       0";"     776";"    2592";"";"    1760";"     815";"      17";"";"     351";"       9";"   -1154";"    2550";"       .";"     904";"       .";"       .";"      59";"   11689";"   11447";"     242";"       2";"   13710";"   13294";"     416"
"674";"2019MM08";"    2554";"    2522";"      15";"    3433";"    1833";"    1096";"     470";"      33";"       0";"     625";"    2653";"";"    1856";"     767";"      29";"";"     129";"       8";"   -1252";"    2554";"       .";"     912";"       .";"       .";"      56";"   12942";"   12613";"     329";"       2";"   13710";"   13294";"     416"
"675";"2019MM09";"    2824";"    2182";"      14";"    3520";"    1492";"    1274";"     634";"      83";"      36";"     455";"    2569";"";"    1686";"     866";"      17";"";"     127";"       8";"    -644";"    2824";"       .";"     941";"       .";"       .";"      52";"   13586";"   13224";"     362";"       2";"   13710";"   13294";"     416"
"676";"2019KW03";"    7927";"    7136";"      44";"   10385";"    5327";"    3036";"    1817";"     168";"      36";"    1856";"    7813";"";"    5302";"    2448";"      63";"";"     606";"      25";"   -3051";"    7927";"       .";"    2757";"       .";"       .";"     167";"   13586";"   13224";"     362";"       6";"   13710";"   13294";"     416"
"677";"2019MM10";"    3591";"    2528";"      15";"    4352";"    1834";"    1740";"     416";"     255";"     107";"     362";"    3344";"";"    2186";"    1150";"       8";"";"     114";"      10";"    -197";"    3591";"       .";"     982";"       .";"       .";"      62";"   13784";"   13567";"     217";"       2";"   14732";"   14317";"     416"
"678";"2019MM11";"    4359";"    2375";"      16";"    3912";"    1484";"    1604";"     640";"      69";"     114";"     968";"    4210";"";"    2729";"    1355";"     125";"";"      31";"       8";"    1337";"    4359";"       .";"     937";"       .";"       .";"      63";"   12447";"   12236";"     211";"       2";"   14732";"   14317";"     416"
"679";"2019MM12";"    4569";"    2426";"      16";"    4203";"    1463";"    1745";"     704";"     171";"     120";"     999";"    4319";"";"    2856";"    1457";"       6";"";"      20";"       6";"    1270";"    4569";"       .";"     782";"       .";"       .";"      67";"   11176";"   10866";"     310";"       2";"   14732";"   14317";"     416"
"680";"2019KW04";"   12519";"    7329";"      47";"   12466";"    4781";"    5089";"    1760";"     495";"     341";"    2329";"   11873";"";"    7771";"    3963";"     139";"";"     165";"      24";"    2410";"   12519";"       .";"    2701";"       .";"       .";"     193";"   11176";"   10866";"     310";"       5";"   14732";"   14317";"     416"
"681";"2019JJ00";"   42576";"   31540";"     187";"   46446";"   21550";"   16850";"    6629";"    1040";"     377";"    9883";"   44192";"";"   28543";"   13990";"    1659";"";"     985";"      79";"    -224";"   42576";"       .";"   10316";"       .";"       .";"     730";"   11176";"   10866";"     310";"      23";"   14732";"   14317";"     416"
"682";"2020MM01";"    4986";"    2644";"      20";"    3549";"    1053";"    1745";"     500";"     137";"     114";"    1110";"    3994";"";"    2833";"    1136";"      24";"";"      17";"      13";"    1687";"    4986";"       .";"    1128";"       .";"       .";"      67";"    9489";"    9206";"     284";"       1";"   14732";"   14317";"     416"
"683";"2020MM02";"    4357";"    2143";"      20";"    3631";"    1015";"    1856";"     601";"      58";"     101";"     985";"    3920";"";"    2547";"    1281";"      92";"";"      25";"       9";"    1532";"    4357";"       .";"     834";"       .";"       .";"      61";"    7958";"    7729";"     229";"       1";"   14732";"   14317";"     416"
"684";"2020MM03";"    4109";"    1924";"      20";"    3490";"    1213";"    1324";"     794";"      52";"     106";"    1171";"    3827";"";"    2538";"    1269";"      20";"";"      41";"      17";"    1389";"    4109";"       .";"     740";"       .";"       .";"      64";"    6569";"    6349";"     220";"       1";"   14687";"   14272";"     416"
"685";"2020KW01";"   13453";"    6711";"      60";"   10670";"    3281";"    4925";"    1895";"     247";"     322";"    3266";"   11741";"";"    7919";"    3686";"     136";"";"      83";"      38";"    4607";"   13453";"       .";"    2702";"       .";"       .";"     193";"    6569";"    6349";"     220";"       4";"   14687";"   14272";"     416"
"686";"2020MM04";"    2803";"    2120";"      19";"    3860";"    1366";"    1229";"     727";"     448";"      90";"    1183";"    3159";"";"    2057";"    1102";"       0";"";"      29";"      10";"   -1181";"    2803";"       .";"     623";"       .";"       .";"      65";"    7750";"    7487";"     263";"       1";"   14687";"   14272";"     416"
"687";"2020MM05";"    2745";"    2421";"      20";"    4006";"    1385";"     909";"    1093";"     513";"     106";"    1177";"    3212";"";"    2210";"    1002";"       0";"";"      29";"      11";"   -1629";"    2745";"       .";"     790";"       .";"       .";"      65";"    9379";"    9034";"     345";"       2";"   14687";"   14272";"     416"
"688";"2020MM06";"    2514";"    1643";"      21";"    4437";"    1908";"    1099";"     849";"     508";"      73";"     337";"    2364";"";"    1466";"     898";"       0";"";"     151";"      11";"   -1399";"    2514";"       .";"     886";"       .";"       .";"      64";"   10778";"   10480";"     298";"       1";"   14724";"   14309";"     416"
"689";"2020KW02";"    8062";"    6184";"      60";"   12303";"    4659";"    3237";"    2670";"    1469";"     269";"    2698";"    8734";"";"    5732";"    3002";"       0";"";"     209";"      32";"   -4209";"    8062";"       .";"    2299";"       .";"       .";"     194";"   10778";"   10480";"     298";"       5";"   14724";"   14309";"     416"
"690";"2020MM07";"    2806";"    1387";"      21";"    3984";"    1911";"     795";"     655";"     542";"      81";"     752";"    2468";"";"    1670";"     798";"       0";"";"      21";"      12";"    -836";"    2806";"       .";"    1079";"       .";"       .";"      74";"   11614";"   11305";"     309";"       2";"   14724";"   14309";"     416"
"691";"2020MM08";"    2766";"    1320";"      21";"    3562";"    2116";"     654";"     296";"     421";"      75";"     523";"    1802";"";"    1121";"     681";"       0";"";"     143";"      14";"    -701";"    2766";"       .";"    1152";"       .";"       .";"      61";"   12315";"   11982";"     333";"       2";"   14724";"   14309";"     416"
"692";"2020MM09";"    2696";"    1277";"      24";"    4710";"    2299";"    1072";"     882";"     356";"     101";"     316";"    2172";"";"    1342";"     829";"       0";"";"     133";"      10";"   -1315";"    2696";"       .";"     894";"       .";"       .";"      44";"   13631";"   13459";"     171";"       2";"   14724";"   14309";"     416"
