"ID";"DutchEconomy";"Periods";"TotalCO2_1";"CO2ExclBiomass_2";"CO2Biomass_3";"N2O_4";"CH4_5";"GreenhouseGasEquivalents_6";"NOx_7";"SO2_8";"NH3_9";"AcidificationEquivalents_10";"CFK12Equivalents_11";"CO_12";"NMVOC_13";"PM10_14"
"96";"B000581";"1990JJ00";"   22569";"   21098";"  1471.0";"     0.2";"    22.1";"   23242";"    23.3";"     1.2";"    11.6";"     1.2";"   678.7";"    86.4";"    53.7";"     9.5"
"97";"B000581";"1991JJ00";"   25648";"   24184";"  1463.5";"     0.2";"    24.0";"   26378";"    25.7";"     1.0";"    11.7";"     1.3";"   571.8";"    84.2";"    53.6";"     9.3"
"98";"B000581";"1992JJ00";"   23692";"   22219";"  1472.7";"     0.2";"    22.4";"   24378";"    23.1";"     0.9";"    11.9";"     1.2";"   464.9";"    82.1";"    53.5";"     9.1"
"99";"B000581";"1993JJ00";"   24829";"   23341";"  1487.7";"     0.2";"    22.9";"   25535";"    24.2";"     0.9";"    11.9";"     1.3";"   358.0";"    79.9";"    53.5";"     8.9"
"100";"B000581";"1994JJ00";"   23333";"   21825";"  1507.4";"     0.2";"    21.8";"   24007";"    22.8";"     0.8";"    11.8";"     1.2";"   251.2";"    77.8";"    53.4";"     8.7"
"101";"B000581";"1995JJ00";"   25164";"   23631";"  1532.8";"     0.3";"    23.2";"   25943";"    25.2";"     0.8";"     9.2";"     1.1";"   144.3";"    90.4";"    55.1";"     9.9"
"102";"B000581";"1996JJ00";"   29072";"   27495";"  1577.4";"     0.3";"    25.8";"   29960";"    28.6";"     0.7";"     9.2";"     1.2";"    58.5";"    91.5";"    57.3";"     9.6"
"103";"B000581";"1997JJ00";"   24672";"   23084";"  1588.6";"     0.3";"    22.4";"   25464";"    24.1";"     0.6";"     9.2";"     1.1";"    48.8";"    90.3";"    55.0";"     9.8"
"104";"B000581";"1998JJ00";"   23594";"   21995";"  1599.5";"     0.3";"    21.5";"   24369";"    22.6";"     0.6";"     9.3";"     1.1";"    42.1";"    88.6";"    49.9";"     9.7"
"105";"B000581";"1999JJ00";"   22460";"   20853";"  1607.2";"     0.3";"    20.3";"   23160";"    22.2";"     0.6";"     9.3";"     1.0";"    45.1";"    79.3";"    47.8";"     9.2"
"106";"B000581";"2000JJ00";"   22474";"   20863";"  1610.9";"     0.3";"    20.1";"   23473";"    21.3";"     0.5";"     7.9";"     0.9";"    39.1";"    87.0";"    52.4";"     9.8"
"107";"B000581";"2001JJ00";"   23713";"   22114";"  1599.9";"     0.2";"    20.6";"   24590";"    22.7";"     0.5";"     9.2";"     1.1";"    34.6";"    86.0";"    52.1";"     9.2"
"108";"B000581";"2002JJ00";"   22924";"   21333";"  1590.6";"     0.2";"    19.9";"   23785";"    21.9";"     0.5";"     9.1";"     1.0";"    30.9";"    84.3";"    51.1";"     9.3"
"109";"B000581";"2003JJ00";"   23458";"   21832";"  1625.9";"     0.3";"    20.2";"   24334";"    21.7";"     0.5";"     8.9";"     1.0";"    27.6";"    85.0";"    51.2";"     9.6"
"110";"B000581";"2004JJ00";"   22566";"   20860";"  1706.5";"     0.3";"    19.3";"   23463";"    19.3";"     0.5";"     8.7";"     0.9";"    24.2";"    86.3";"    50.4";"     9.6"
"111";"B000581";"2005JJ00";"   21848";"   20057";"  1791.0";"     0.3";"    18.8";"   22730";"    17.9";"     0.4";"     9.2";"     0.9";"    21.2";"    88.3";"    51.3";"     9.6"
"112";"B000581";"2006JJ00";"   22078";"   20205";"  1873.5";"     0.3";"    18.7";"   22986";"    16.1";"     0.4";"     9.0";"     0.9";"    18.3";"    90.9";"    52.0";"     9.8"
"113";"B000581";"2007JJ00";"   19946";"   18075";"  1871.5";"     0.3";"    16.8";"   20822";"    14.2";"     0.4";"     8.6";"     0.8";"    15.3";"    89.3";"    52.1";"     9.5"
"114";"B000581";"2008JJ00";"   22304";"   20417";"  1887.8";"     0.3";"    18.4";"   23248";"    15.0";"     0.5";"     8.0";"     0.8";"    12.3";"    89.3";"    51.1";"     9.2"
"115";"B000581";"2009JJ00";"   22239";"   20324";"  1914.8";"     0.4";"    18.3";"   23223";"    14.6";"     0.5";"     7.9";"     0.8";"     9.3";"    89.3";"    50.9";"     9.2"
"116";"B000581";"2010JJ00";"   25575";"   23623";"  1952.0";"     0.4";"    20.6";"   26618";"    15.6";"     0.5";"     8.3";"     0.8";"     6.4";"    90.7";"    51.3";"     9.1"
"117";"B000581";"2011JJ00";"   20424";"   18435";"  1989.1";"     0.3";"    16.9";"   21370";"    12.5";"     0.5";"     8.6";"     0.8";"     3.4";"    88.1";"    49.7";"     8.9"
"118";"B000581";"2012JJ00";"   21620";"   19679";"  1941.2";"     0.3";"    17.7";"   22582";"    12.4";"     0.5";"     8.9";"     0.8";"     0.4";"    86.3";"    51.0";"     9.0"
"119";"B000581";"2013JJ00";"   22829";"   20871";"  1957.9";"     0.3";"    18.5";"   23801";"    12.4";"     0.5";"     9.3";"     0.8";"     0.0";"    85.6";"    51.1";"     9.0"
"120";"B000581";"2014JJ00";"   17595";"   15648";"  1947.7";"     0.3";"    14.7";"   18454";"     9.9";"     0.4";"     8.9";"     0.8";"     0.0";"    81.9";"    50.5";"     8.8"
"121";"B000581";"2015JJ00";"   18623";"   16684";"  1939.2";"     0.4";"    15.3";"   19502";"     9.8";"     0.4";"     8.9";"     0.8";"     0.0";"    80.3";"    49.8";"     8.5"
"122";"B000581";"2016JJ00";"   19295";"   17374";"  1921.2";"     0.4";"    15.6";"   20184";"     9.5";"     0.4";"     9.1";"     0.8";"     0.0";"    78.6";"    49.6";"     8.4"
"123";"B000581";"2017JJ00";"   18803";"   16892";"  1910.8";"     0.4";"    15.1";"   19674";"     8.7";"     0.4";"     8.9";"     0.7";"     0.0";"    76.3";"    49.4";"     8.3"
"124";"B000581";"2018JJ00";"   18685";"   16769";"  1915.2";"     0.4";"    13.7";"   19507";"     8.4";"     0.5";"     9.1";"     0.7";"     0.0";"    74.2";"    49.6";"     8.6"
"125";"B000581";"2019JJ00";"   18095";"   16202";"  1893.4";"     0.4";"    14.4";"   18939";"     8.1";"     0.4";"     9.0";"     0.7";"     0.0";"    70.8";"    49.6";"     8.1"
"126";"B000581";"2020JJ00";"   17342";"   15452";"  1890.3";"     0.4";"    13.7";"   18130";"     7.7";"     0.4";"     9.0";"     0.7";"     0.0";"    67.6";"    86.7";"     7.5"
"127";"B000581";"2021JJ00";"   19600";"   17686";"  1913.5";"     0.3";"    15.2";"   20425";"     8.4";"     0.4";"     9.0";"     0.7";"     0.0";"    67.1";"    86.6";"     5.7"
"128";"T001081";"1990JJ00";"  141191";"  138111";"  3079.9";"    58.5";"   698.5";"  183353";"   632.2";"   249.5";"   332.2";"    41.1";"  5471.3";"   525.1";"   421.9";"    68.4"
"129";"T001081";"1991JJ00";"  146993";"  143796";"  3196.8";"    59.1";"   713.2";"  189621";"   621.4";"   214.5";"   336.4";"    40.0";"  4494.7";"   566.6";"   397.7";"    65.2"
"130";"T001081";"1992JJ00";"  149007";"  145834";"  3173.5";"    59.9";"   710.4";"  192800";"   632.6";"   213.7";"   278.0";"    36.8";"  3518.1";"   585.1";"   373.7";"    62.5"
"131";"T001081";"1993JJ00";"  148628";"  145222";"  3405.9";"    60.8";"   707.4";"  193284";"   626.6";"   208.5";"   292.1";"    37.3";"  2541.5";"   567.9";"   349.6";"    59.3"
"132";"T001081";"1994JJ00";"  152188";"  148890";"  3298.8";"    59.2";"   684.6";"  197546";"   614.2";"   199.6";"   259.6";"    34.8";"  1564.8";"   518.5";"   325.2";"    56.2"
"133";"T001081";"1995JJ00";"  152471";"  148997";"  3473.6";"    58.7";"   679.6";"  195386";"   601.3";"   198.7";"   206.6";"    31.4";"   588.2";"   436.0";"   298.2";"    53.2"
"134";"T001081";"1996JJ00";"  157972";"  153830";"  4142.2";"    58.8";"   665.3";"  204241";"   591.8";"   192.7";"   164.2";"    28.5";"   431.3";"   424.5";"   282.1";"    49.4"
